"bootstrap","Ya0g0","Ya0g1","Ya1g0","Ya1g1","pNDE","tNDE","pNDE_m","tNDE_m","pNIE","tNIE","pNIE_m","tNIE_m","TE","TE_m"
92,0.7314,0.736486666666667,0.812606666666667,0.822816666666667,0.0812066666666667,0.08633,1.11106407202073,1.11726280603503,0.00508666666666667,0.01021,1.00699171200759,1.01258919587133,0.0914166666666667,1.12502994054232
93,0.718993333333333,0.71673,0.81799,0.826476666666667,0.0989966666666667,0.109746666666667,1.1377244880574,1.15318379873213,-0.00226333333333334,0.00848666666666666,0.996901957267992,1.01040309525358,0.107483333333333,1.14953406690799
94,0.72542,0.73148,0.812723333333333,0.822356666666667,0.0873033333333333,0.0908766666666667,1.12037520853355,1.1242876919595,0.00605999999999999,0.00963333333333333,1.00837575883658,1.01186891287131,0.0969366666666667,1.13366232681179
95,0.728266666666667,0.730373333333333,0.81873,0.826266666666667,0.0904633333333334,0.0958933333333333,1.12425590675397,1.13133747094886,0.00210666666666668,0.00753666666666665,1.00292096805792,1.00922676964094,0.098,1.13461267205093
96,0.754653333333333,0.761166666666667,0.816896666666667,0.823533333333333,0.0622433333333333,0.0623666666666667,1.08251512064841,1.0819659687561,0.00651333333333333,0.00663666666666666,1.00866463940626,1.00814011779413,0.06888,1.09130655153298
97,0.742166666666667,0.752563333333333,0.82102,0.82889,0.0788533333333333,0.0763266666666667,1.10628242747912,1.10145486611648,0.0103966666666667,0.00787,1.01403138008863,1.0096077208456,0.0867233333333333,1.11687583107611
98,0.73454,0.739426666666667,0.805946666666667,0.815156666666667,0.0714066666666667,0.07573,1.09725498860574,1.10244603121331,0.00488666666666667,0.00921000000000002,1.00668300852067,1.01144660782526,0.0806166666666667,1.1097856783472
99,0.74334,0.75396,0.821523333333333,0.829986666666667,0.0781833333333333,0.0760266666666667,1.10520098043378,1.10086499230432,0.01062,0.00846333333333333,1.01430681436037,1.01031503991753,0.0866466666666667,1.11658612013211
100,0.72645,0.73804,0.812483333333333,0.82457,0.0860333333333333,0.08653,1.11845462535663,1.1172965071113,0.01159,0.0120866666666667,1.01597627120819,1.0148921678956,0.09812,1.13509315468356
101,0.737133333333333,0.745003333333333,0.810883333333333,0.818833333333333,0.07375,0.07383,1.1001097975632,1.09914433736391,0.00786999999999998,0.00794999999999999,1.01072787386647,1.00983088464098,0.0817,1.11089347806711
102,0.73688,0.738703333333333,0.8096,0.814406666666667,0.07272,0.0757033333333333,1.09871652302772,1.10251028219074,0.00182333333333333,0.00480666666666667,1.0025106135783,1.00594892294278,0.0775266666666667,1.10524758951143
103,0.729996666666667,0.730793333333333,0.800103333333333,0.81058,0.0701066666666667,0.0797866666666667,1.096075145818,1.10919482372312,0.000796666666666664,0.0104766666666667,1.00112651286772,1.01311349100772,0.0805833333333333,1.1104255264843
104,0.729806666666667,0.734456666666667,0.810263333333333,0.819376666666667,0.0804566666666667,0.08492,1.11029877006009,1.11565682124972,0.00465,0.00911333333333333,1.00643376993916,1.0112721106148,0.08957,1.12278532995096
105,0.72567,0.728433333333333,0.81594,0.826046666666667,0.09027,0.0976133333333333,1.12444605050209,1.13404479095997,0.00276333333333334,0.0101066666666667,1.00384189582758,1.01240351016409,0.100376666666667,1.1383761847488
106,0.712466666666667,0.718126666666667,0.799,0.811886666666667,0.0865333333333333,0.09376,1.12149649652214,1.13062414972004,0.00566000000000001,0.0128866666666667,1.00799319755442,1.01614928380438,0.09942,1.1395827608657
107,0.729356666666667,0.73605,0.814663333333333,0.823073333333333,0.0853066666666667,0.0870233333333333,1.11700145653521,1.11825044117994,0.00669333333333334,0.00841,1.00921608482524,1.01034217780633,0.0937166666666667,1.12854255506894
108,0.72504,0.728606666666667,0.823246666666667,0.835873333333333,0.0982066666666667,0.107266666666667,1.13550076124232,1.14728630767214,0.00356666666666667,0.0126266666666667,1.00496878741094,1.01535979702696,0.110833333333333,1.15292756143271
